id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente,resultado
P07-01,13-09-2007/ 14-09-2007,Universidad de Oriente y Instituto Superior Julio Antonio Mella (ISJAM) Santiago de Cuba,Marcha,Marcha,Marcha,"Estudiantes universitarios (""unos 300"")","CONDICIONES DE VIDA Y POLÍTICAS INSTITUCIONALES. La protesta tuvo varios matices, desde el cuestionamiento político hasta la actitud negligente de la rectora Zaida Valdés Estrada. La principal demanda fue por la decisión de ""separar a las mujeres de los hombres"" en las residencias, es decir, en las becas de Quintero. A esto se sumó la protesta por la violación de una alumna el día anterior y los cuestionamientos de las condiciones de vida en la Universidad: mala alimentación, escasez de agua en los dormitorios y falta de iluminación.",Autoridades docentes del Rectorado de la Universidad,Los alumnos mostraron carteles y gritaron consignas a favor de una mayor apertura en las universidades y contra la medida conservadora y segregacionista.,"VIGILANCIA, GESTOS SIMBÓLICOS, MEJORA DE ALGUNAS CONDICIONES Y REPRESIÓN (EXPULSIONES). La solución más inmediata de las autoridades para aplacar los ánimos fue dar ""pase"" masivo a estudiantes; cerraron el comedor. Después de los primeros incidentes se resolvieron los problemas de iluminación de las áreas externas y mejoró la alimentación. Se efectuaría un ""acto de masas"" en la universidad, en el que hablaría el presidente de la FEU. Después fueron expulsados 46 estudiantes que protagonizaron la protesta masiva en el Rectorado. Tanto la Universidad de Oriente como el ISJAM estuvieron bajo la vigilancia de la Seguridad del Estado. El martes 25 de septiembre se efectuó una reunión general en la Universidad, y se especulaba que podría ser para informar las medidas tomadas contra los estudiantes que participaron en la protesta, pero hasta la fecha no ha trascendido la información.",https://www.cubanet.org/htdocs/CNews/y07/sep07/28a1.htm.   https://www.cubaencuentro.com/cuba/se-dice-que/protesta-masiva-en-la-universidad-de-oriente-46594,Mejoraron algunas condiciones
,17-12-2007,La Habana,Performance,Performance,Performance,Artistas/intelectuales OMNI,"Libertad de expresión. GARABATO PEREGRINACIÓN al Rincón. “La peregrinación del garabato es una promesa por la salud de la poesía; entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”","TOLERANCIA, VIGILANCIA",NULL,NULL
,17-12-2008,La Habana,Performance,Performance,Performance,Artistas/intelectuales OMNI,"Libertad de expresión. GARABATO PEREGRINACIÓN al Rincón. “La peregrinación del garabato es una promesa por la salud de la poesía; entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía, entendemos como poesía el estado general del país, de la nación cubana”","TOLERANCIA, VIGILANCIA",NULL,NULL
,22-10-2009,La Habana   ISA,Manifestación/Concentración,Manifestación,Concentración,Estudiantes universitarios,"Servicios. Los estudiantes del Instituto Superior de Arte piden comida, mejores condiciones en que los tienen obligados a vivir en la beca y libertad para expresarse. Los estudiantes especifican que no es una huelga, pero que no van a asistir a clases hasta que no cambien la comida. Realizan un performance por la falta de agua y comida del ISA y se escuchan cacerolazos.",Autoridades docentes de la Universidad,Por las condiciones de alimentación,NULL,http://www.cubademocraciayvida.org/web/print.asp?artID=10087,NULL
,27-11-2009,La Habana,Marcha/Performance,Marcha,Performance,Artistas/intelectuales/activistas (200 personas),"CONTRA LA VIOLENCIA. Los jóvenes, que iniciaron la caminata por una de las aceras de la calle 23 en la tarde del viernes, llegaron hasta L, donde se encuentra el hotel Habana Libre; cruzaron al cine Yara y, por la acera de la heladería Coppelia, continuaron su marcha, en sentido contrario, hasta G. Sobre los objetivos de la acción, la mayoría coincide en que se cumplieron. Para YN, “era que se lograra hacer la protesta que había sido organizada desde una iniciativa independiente, algo aún impensable en Cuba” y que “se pudiera denunciar las violencias políticas que ejerce el gobierno sobre sus ciudadanos, aunque no se dijese explícitamente en los carteles”.",Estado cubano/sociedad,NULL,"VIGILANCIA, INTENTO DE CONCILIACIÓN Y COOPTACIÓN A TRAVÉS DE DIÁLOGO. La esquina de 23 y G estaba completamente tomada por la Seguridad del Estado de civil y por policías uniformados. También la calle paralela (25) estaba llena de pequeños buses y camiones que la policía usa para cargar personas, pero no llegaron a usarlos. Allí se personaron funcionarios como el viceministro de Cultura Fernando Rojas y el entonces presidente de la Asociación Hermanos Saíz, Luis Morlote, con el ánimo de persuadirnos de que no realizáramos la acción. Pero no les escuchamos. Las autoridades estaban muy presentes. Desde temprano detuvieron gente y enviaron a otros a convencer, por ejemplo a Aldo, de que no participara. Además, había muchos de la Seguridad del Estado filmando todo el proceso; tenían tremendas caras de susto, como si esperaran mucho más que aquellos pocos metros caminados. (…) Después de esa tarde nos citaron, intimidaron y trataron de comprar a todos. Yo fui, obviamente, un blanco importante para ellos.",https://www.programacuba.com/27n9    https://www.elmundo.es/america/2009/11/07/cuba/1257610631.html  https://www.facebook.com/watch/?v=288097843236704,NULL
,17-12-2009,La Habana,Marcha/Performance,Marcha,Performance,Artistas/OMNI,"Libertad de expresión. “La peregrinación del garabato es una promesa por la salud de la poesía; entendemos como poesía el estado general del país, de la nación cubana”.",Estado cubano/sociedad,NULL,NULL,NULL,NULL
,18-12-2009,La Habana,Carta abierta (46 firmantes y 6 colectivos) OBSERVATORIO CRITICO,Carta abierta,Carta abierta,Artistas/intelectuales/académicos/activistas,"LIBERTAD DE EXPRESIÓN. Aceptación de la diversidad contra represión silenciosa a proyectos culturales, académicos autónomos y activismos sociales; contra acciones desde la “institucionalidad oficial” contra iniciativas culturales caracterizadas por el compromiso activista en pro de una autonomía solidaria. Vemos con gran preocupación la posibilidad de que este tipo de actos desacertados y esterilizantes se generalicen como tendencia. Sentimos en ellos el resurgir de un pensamiento que creíamos ya desterrado de la vida cultural de nuestro país. Nos posicionamos en contra de tal represión silenciosa que está afectando a proyectos y personas cuyo único “error” ha sido el de llevar a cabo iniciativas que no fueron “orientadas desde arriba”.",Estado cubano,"Si el capitalismo es el poder del capital frente a la gente de a pie, entonces estamos en contra del capitalismo, y si el “socialismo” es el poder de una burocracia en contra del resto de la sociedad, entonces también estamos en contra de este “socialismo”. Pero el socialismo no tiene que ser esto, el socialismo que nos entusiasma es el proyecto que socializa –comparte– todos sus recursos, donde todos tenemos igual acceso al ejercicio del poder; y no crea alguien que nos referimos a una utopía: ya hay por ahí algunos hogares y colectivos que hacen realidad estas prácticas. La creciente política de concebir a aquellos que piensan y actúan diferente a “lo orientado” como “disidentes”, “mercenarios” o “contrarrevolucionarios” deja muy poco espacio a la crítica socialista. No hay respeto por la diversidad.","IGNORAR (SILENCIO ANTE EL RECLAMO), PRESIONES Y REPRESIÓN SELECTIVA",http://barcelona.indymedia.org/newswire/display/388657,Sacaron los proyectos de las instituciones
,29-11-2010,"Santa Clara, Villa Clara","Manifestación/Concentración/Motín (Disturbios, RIOT)",Manifestación,"Concentración, Motín (Disturbios, RIOT)",Ciudadanos/pueblo (jóvenes),"DERECHOS DEL CONSUMIDOR. Se registró una seria protesta social en Santa Clara, provincia de Villa Clara, donde participaron cientos de jóvenes que habían adquirido entradas para el cine, con el objetivo de presenciar un juego de fútbol entre el Barcelona y el Real Madrid, en España. Al parecer, por algún tipo de deficiencia técnica, no se pudo transmitir el evento y, cuando las personas salieron, comenzaron a reclamar que les devolvieran el dinero de las entradas. Cuentan que la mayoría eran jóvenes universitarios.",Autoridades locales,"Solicitud de que les devolvieran el dinero de las entradas, de eso pasaron a dar gritos con consignas antigubernamentales como: ¡Abajo Fidel! ¡Abajo la Revolución! ¡Abajo el Comunismo!",REPRESIÓN. Se efectuaron algunas detenciones.,https://www.cubanet.org/htdocs/CNews/year2010/Dic2010/03_C_1.html,NULL
P10-02,01-12-2010 / 02-12-2010,"Bayamo, Granma",Huelga/Plantón/Bloqueo,Huelga," Plantón, Bloqueo",TPCP (cocheros) (aproximadamente mil personas),"CONTRA IMPUESTOS. DERECHOS ECONÓMICOS. Desde las 6:00 a. m., los cocheros se pararon como protesta, demandando al régimen anular los onerosos impuestos que les obligan a pagar y que no van a trabajar hasta que les bajen el costo de la patente, que hay que bajarla a como estaba. Activistas de la Resistencia Cubana en esa zona se han unido en solidaridad a esta manifestación contra los dictámenes económicos del régimen comunista. “Estamos aquí apoyando un plantón, una huelga de trabajo cívica que están haciendo los cocheros de esta ciudad en protesta, ya que le han subido sus patentes, [el precio de] la comida de sus animales y están en protesta y no quieren salir a trabajar”. Aproximadamente un millar de cocheros decidieron realizar un paro protesta frente a la terminal de trenes en la ciudad oriental, donde radica la piquera central de los transportistas […]”.","Estado cubano (autoridades frente a la terminal de trenes en la ciudad oriental, donde radica la piquera central de los transportistas)","Los impuestos del gobierno son demasiado altos. ""Ya la gente no está montando coche"", añadió. ""No tenemos con qué pagar"".","DIÁLOGO E INTENTO DE REPRESIÓN. Al parecer hubo diálogo, ver Martí Noticias. En el centro de la ciudad hay varios jeeps con personas de las Brigadas de Respuesta Rápida, hay patrullas y están los gendarmes de la Seguridad del Estado. “El primer secretario del Partido en la provincia”, nombrado al parecer, hubo algún diálogo y algunos decidieron abandonar la protesta al día siguiente, ver Martí Noticias. Luis Rafael Virelles, también el presidente de la Asamblea Provincial del Poder Popular, estuvieron donde la aglomeración de los cocheros y el pueblo; quisieron dar un sermón, pero los cocheros dijeron que no querían ningún tipo de conversación, sino que se restableciera todo como estaba”. En la mañana del día 2 de diciembre, el paro continuaba. Un jeep con un altoparlante circulaba pidiéndoles a los cocheros que se incorporaran al trabajo. La situación era muy difícil, pues a la hora de entrar a trabajar el pueblo no tenía cómo transportarse. El gobierno ha puesto guaguas, ha puesto camiones. A los camioneros particulares los han obligado a que transporten a las personas, pero nada, eso no da abasto porque son muchas personas.",https://cubaout.wordpress.com/2010/12/02/cuba-paro-de-cocheros-en-bayamo-contra-los-impuestos/ https://soundcloud.com/directorio-cuba/huelga-de-cocheros-en-bayamo-12-1-2010 https://www.radiotelevisionmarti.com/a/paro-laboral-di/666.htmlhttps://www.cubanet.org/htdocs/CNews/year2010/Dic2010/03_C_1.html,"Se satisfizo la demanda. Tras días de asedios y debates, las autoridades cedieron a rebajar los impuestos, liberaron los precios a cobrar y no sancionaron por el parón"
,07-12-2010,Sancti Spiritus,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo/TPCP,"Derecho TPCP (impuestos). Grupo de cocheros que trabajan por cuenta propia, para protestar por los elevados impuestos y por la eliminación de la piquera del hospital provincial Camilo Cienfuegos.",Autoridades locales,NULL,"La manifestación fue rodeada por carros patrulleros y motocicletas de la policía, y solo fueron recibidos dos cocheros, a quienes se les aceptó el reclamo del paradero del hospital, pero no el relativo a los impuestos.",https://www.cubanet.org/htdocs/CNews/year2010/Dic2010/07_N_1.html,NULL
