id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
P21-06,11-07-2021,"Parque de la Iglesia, San Antonio de los Baños, Artemisa",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"A través de un grupo de Facebook de los residentes de San Antonio de los Baños llamado ""La Villa del Humor"", el líder (o administrador del grupo) Danilo Roque (seudónimo) convoca a una protesta en el Parque de la Iglesia. Este, seguido por Lázaro González (seudónimo), también administrador del grupo, se dedica a la logística de la manifestación y, junto con Alexander Pérez Rodríguez, pastor de la Iglesia Adventista del Séptimo Día, exmiembro del grupo Somos+, simpatizante de Oswaldo Payá, quien pone cara y voz, informa, genera debates, propone y dialoga. Los integrantes del equipo de organización de la protesta fueron 23 personas, quienes se mantienen en total anonimato y cuyas edades oscilan entre los 18 y los 30 años. El plan de Danilo Roque para el 11 de julio fue publicado en el grupo de Facebook: 1-10:00 a.m. nos vamos a reunir todos en el Parque de la Iglesia. 2-10:30 a.m. comenzamos a salir por la Calle Real dirección a la tienda TRD, lugar donde nos venden en monedas que no ganamos. Ahí somos libres de hacer lo que queramos. Son nuestras tiendas y nuestros productos. 3-11:00 a.m. nos dirigimos a Radio Ariguanabo, allí podemos hacer que Radio Ariguanabo anuncie lo que está sucediendo a través de su emisora. Si queremos, podemos lograrlo. 4-Llegando hasta ahí, seguimos rumbo Coppelia, esto llamando a más personas a unirse a nuestra propuesta. Recuerden que necesitamos muchas personas para esto. 5-En Coppelia vamos a trancar el tráfico y vamos a gritar todo lo que nuestra voz pueda. Todo lo que se les ocurra. 6-Subimos Calle Ancha, hasta el Partido. La manifestación transita por las calles: doblando hacia la calle 41, calle 41 e/ 74 y 76, Asamblea Municipal del Poder Popular, calle 70 y 55, calle 61 y 66, calle 49 y 53, calle 49 (Parque de la Placita), Parque Central, calle 41 y 62, Parque de la Iglesia.",Estado cubano,"""Oye, comunismo NO"", ""Libertad"", ""Patria y Vida""","Se presentaron órganos del PCC del municipio y fueron atacados con palabras de los manifestantes que se encontraban en el lugar. Se observa un cordón de militares rodeando la entrada de la iglesia. También se presenció la llegada de Miguel Díaz-Canel, escoltado por altos militares, en un intento de aplacar la situación, pero terminaron lanzándole varias botellas plásticas de agua y unos cuantos insultos más.",https://www.youtube.com/watch?v=N80lz51MDyU https://revistaelestornudo.medium.com/11-de-julio-en-san-antonio-de-los-ba%C3%B1os-lo-que-se-ve-lo-que-no-se-ve-c3760b4516a9  https://www.youtube.com/watch?v=1EIv4Tz38BA
P21-07,11-07-2021,"Palma Soriano, Santiago de Cuba",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Un pequeño grupo de personas sale a las calles a exigir ""Patria y Vida"". Poco a poco se van sumando varias personas, mientras los manifestantes incitan a que se sumen más personas. La manifestación comienza en la calle Lora, bajan hasta el Servicupet haciendo varias paradas, avanza desde la calle Quintín Bandera hasta el parque José Martí y regresan hasta la sede del PCC municipal, donde se desencadena la represión. También se manifiestan en la Carretera Central e/ 19, 21, Calixto García, 1ro de Mayo y Carretera Central y Donato Mármol, Contramaestre. Afuera de la sede del PCC los manifestantes le gritan al comandante Ramiro Valdés que los están matando de hambre y que las autoridades dieron golpes.",Estado cubano,"""Patria y Vida"", ""Abajo Díaz-Canel"", ""Abajo el hambre"", ""Libertad"", ""Ladrones"", ""Asesinos"", ""Cambio"" y cantan el Himno Nacional.","Interceptan a los manifestantes autoridades vestidas de civil y otras uniformadas, intentando dialogar e impedirles el paso, pero el grupo de manifestantes continúa avanzando. Llegada de Ramiro Valdés al municipio acompañado de una escolta de militares para intentar un diálogo con la población.",https://www.youtube.com/watch?v=09rfIVI3Iew https://www.youtube.com/watch?v=EtJBixdySP4 https://www.youtube.com/watch?v=AfoGi-uXxBc  https://www.youtube.com/watch?v=t_sqNPk0lgo  https://www.youtube.com/watch?v=b6vHE3_ICMg
P21-08,11-07-2021,"Parque del Partido, Alquízar, Artemisa",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Grupo de personas sale a las calles demandando libertad para el pueblo de Cuba. La manifestación se desplaza por la calle 82, pasando por 89, 91 hasta el parque donde se encuentra la sede del Partido.",Estado cubano,"""Patria y Vida"", ""Díaz-Canel, singao"", ""Abajo la dictadura"", ""Que se vayan"", ""Libertad""",NULL,https://www.youtube.com/watch?v=ceDt-1DbSaI  https://www.youtube.com/watch?v=Z5IoaK3G4Rs   https://www.youtube.com/watch?v=RsVPpYzdJW4
P21-09,11-07-2021,"Güira de Melena, artemisa",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Grupo de personas sale a las calles demandando libertad y que no tienen comida para el pueblo de Cuba. A medida que los manifestantes avanzan por las calles convocan a todos los residentes a sumarse a la marcha. La manifestación recorre las calles 84 y 83, 93, calles 86 y 87, calle 82 (Real). Ocurre un saqueo en la tienda El Encanto y se reúnen frente al Partido y la UJC. Otro grupo de manifestantes llega hasta la estación de policía.",Estado cubano,"""Patria y Vida"", ""Díaz-Canel, singao"", ""Abajo la dictadura"", ""Libertad"", ""Oe policía, pinga"", ""Queremos medicinas"", ""Asesinos"", ""Que se vayan"", ""No tenemos miedo""",Se presencian autoridades militares y otras vestidas de civil frente al Partido que comienzan a reprimir a los manifestantes. A las afueras de la Estación de Policía se observa a las autoridades paradas en la acera amenazando con rociar spray.,https://www.youtube.com/watch?v=rNrza19-QKI https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/  https://www.youtube.com/watch?v=JGFXJrC52mg https://www.youtube.com/watch?v=IM80Uujam_8  https://www.youtube.com/watch?v=jrEQOly16tM  https://www.youtube.com/watch?v=LBFUsvRVmbM  https://www.youtube.com/watch?v=WPuyEgeyQ0Y  https://www.youtube.com/watch?v=E3RUyFhwQvs
P21-10,11-07-2021,"Parque de la Iglesia, Bauta, Artemisa",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles demandando la situación de precariedad en que se encuentra el país. Se dirigen hacia el Partido Municipal pasando por el Parque de la Iglesia, la casa de Manuel Díaz ""Manolo Manguera"", las calles 150 y 243 y se reúnen frente a la tienda La Revoltosa.",Estado cubano,"""Patria y Vida"", ""Abajo Díaz-Canel"", ""Díaz-Canel singao"", ""Abajo Fidel"", ""El pueblo unido, jamás será vencido""",Frente a la tienda La Revoltosa se observan algunas autoridades que comienzan a reprimir a los manifestantes dándoles golpes y cerrando algunas de las calles para que el pueblo no avance.,https://www.youtube.com/watch?v=fM1jrCjcfdQ https://www.youtube.com/watch?v=r0qPF9nvuxs https://www.youtube.com/watch?v=S8Bk7ZZeWok  https://www.youtube.com/watch?v=E_3SSOoY0Q0
P21-11,11-07-2021,"San José de las Lajas, Mayabeque",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"El pueblo de San José de las Lajas se manifestó en las calles demandando la libertad. La protesta se llevó a cabo por la avenida 47 y 126, 110, 108, 106, 94, 90, 82, Centro Comercial Boulevard, la Fábrica de Cerámica, calle 130, Gobierno de Mayabeque, el Hospital Leopoldito Martínez, Terminal de Ómnibus, Centro Comercial Boulevard, calle 54 y avenida 45, calle 42 y 35.",Estado cubano,"""El pueblo unido, jamás será vencido"", ""Abajo la dictadura"", ""Díaz-Canel, singao"", ""Patria y Vida"", ""Libertad"", ""Queremos medicinas"", ""No más mentiras""","Un grupo oficialista se interpuso en la carretera de la Fábrica de Cerámica utilizando un megáfono para decir consignas revolucionarias y extender una bandera cubana. A las afueras del Gobierno de Mayabeque se concentraron los manifestantes y se pudo apreciar la presencia de la policía y autoridades vestidas de civil, quienes intentaban reprimir la protesta pacífica. Algunos de ellos intentaron gritar consignas revolucionarias.",https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/ https://proyectoinventario.org/mapa-manifestaciones-cuba-11j/  https://www.youtube.com/watch?v=kjaoylnGYJI  https://www.youtube.com/watch?v=Da-BOx9SJCw  https://www.youtube.com/watch?v=kUz27Z5XVNk  https://www.youtube.com/watch?v=_WaZMB55d5M
P21-12,11-07-2021,"Plaza Bedoya, Camagüey",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Manifestantes salen a las calles demandando la situación de precariedad en que se encuentra el país y convocan al pueblo a sumarse a la protesta.,Estado cubano,"""Patria y Vida"", ""Abajo el comunismo""",NULL,https://www.youtube.com/watch?v=Mq5teLYC3sU
P21-13,11-07-2021,"Calle Pilar, Matanzas",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Un pequeño grupo de personas sale a las calles a exigir ""Patria y Vida"". Los manifestantes incitan a que se sumen más personas.",Estado cubano,"""Patria y Vida"", ""Abajo el comunismo""",NULL,https://www.youtube.com/watch?v=kqnN18YbR1g
P21-14,11-07-2021,"Microdistrito, Santiago de Cuba",Marcha,Marcha,Marcha,Ciudadanos/pueblo,Grupo pequeño de personas sale a las calles para protestar.,Estado cubano,NULL,NULL,https://www.youtube.com/watch?v=q64I-_Mrb4s
P21-15,11-07-2021,"Güines, mayabeque",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes salen a las calles demandando libertad. Las protestas se llevan a cabo por la calle 86, Parque, estación de policía, calle Reina, Cupet de Reina y avenida 77 (Real).",Estado cubano,"""Libertad"", ""Abajo el comunismo"", ""Abajo Díaz-Canel"", ""Díaz-Canel, singao"", ""Patria y Vida""",Un grupo de personas oficialistas se junta con las autoridades de la policía a las afueras de la PNR para impedir el paso de los manifestantes y gritar consignas revolucionarias. En el parque de Güines comenzaron a llegar camiones con tropas especiales y policías vestidos de civil para darle golpes al pueblo.,https://www.youtube.com/watch?v=Z3NdyZsOedY https://www.youtube.com/watch?v=F-M7W7HScPE https://www.youtube.com/watch?v=6Y8fizNOogE
P21-16,11-07-2021,Santa Clara,Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes de Santa Clara se lanzan a las calles a demandar la libertad del pueblo cubano. Las protestas recorren varias calles y ubicaciones como son: Puente de la Cruz, Parque del Carmen, Independencia y Juan Bruno Zayas, Marta Abreu y Juan Bruno Zayas, Rafael Tristá y Juan Bruno Zayas, Independencia e/ General Alemán y Toscano, Rafael Tristá e/ General Alemán y Rafael Lubián, Rafael Tristá y Augusto Vidaurreta, Rafael Tristá y La Torre, Colón y Domingo Mujico, calle San Miguel, 1ra de la Vigía y Carretera Central, Parque de la Audiencia y Estrada Palma y Amparo. También reportan protestas pacíficas en El Condado y Los Flamboyanes.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Viva Cuba Libre"", ""Díaz-Canel, singao"", ""Asesinos""","Policías impiden el paso de manifestantes. Se observan brigadas de respuesta detrás de los manifestantes. Para impedir el paso de los manifestantes hasta el parque Vidal, crearon un cordón policial. En calles aledañas, la policía vestida de civil agrede a la población y, en particular, a las mujeres, tirándolas contra el piso, golpeándolas y quitándoles sus teléfonos.",https://www.youtube.com/watch?v=pgprjpxKdH4 https://www.youtube.com/watch?v=poLKXjhE1n8  https://www.youtube.com/watch?v=ORQDeOttsOU  https://www.youtube.com/watch?v=00zKQcjTAo0  https://www.youtube.com/watch?v=jLdQ9LG-he8  https://www.youtube.com/watch?v=WX15XKDPq-I  https://www.youtube.com/watch?v=xdqCmrucpUQ  https://www.youtube.com/watch?v=D8mZJUjdNMo
P21-17,11-07-2021,"Cárdenas, Matanzas",Marcha,Marcha,Marcha,Ciudadanos/pueblo,"Manifestantes se lanzan a las calles a exigir la libertad de Cuba. Se reúnen frente al Gobierno Municipal y el Partido. La manifestación recorre las calles: Calle Real, esq. Cristina, Cristina e/ Jénez y Laborde, Jénez y Calzada, y Real y Calzada. Hay constancia de vandalismo durante la manifestación en las tiendas: tienda Puerta del Sol, tienda Mercadito, tienda Bello Atardecer y en la Cadeca.",Estado cubano,"""Libertad"", ""Patria y Vida"", ""Díaz-Canel, singao"", ""Se oye, se siente, el pueblo está presente""","Se observa un cordón policial antimotines que bloquea el paso de los manifestantes y, a su vez, protege a los oficiales de la policía y militares que se encuentran en la zona. También se llevan a varias mujeres detenidas.",https://www.youtube.com/watch?v=dxi8L5sIrj0 https://www.youtube.com/watch?v=nKO3uFG8ie8  https://www.youtube.com/watch?v=lrTJriCDm-Q  https://www.youtube.com/watch?v=uCGgfPICL8U  https://www.youtube.com/watch?v=5TfvHgPV2fw  https://www.youtube.com/watch?v=vBONehXkBRA
