id,fecha,lugar,tipo_evento,tipo_evento_principal,subtipos_evento,quien_protesta,demanda,a_quien,discurso_framing,respuesta_estatal,fuente
,06-01-2022,La Habana,Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,"Servicios, derechos de consumidor. Alrededor de 300 personas se reunieron ante la sede de Conviasa para realizar una multitudinaria protesta por la negativa de la aerolínea de reprogramar vuelos, cuyos boletos fueron vendidos desde 2020.",Estado cubano,"""¡Queremos fecha de vuelo! ¡Nos están robando!""",Hubo presencia policial y detuvieron a una persona que discutía con una de las personas que estaba atendiendo.,https://www.cubanet.org/destacados/queremos-fecha-de-vuelo-cubanos-protestan-ante-la-sede-de-conviasa-en-la-habana/
,31-01-2022,La Habana,Manifestación/Concentración,Manifestación,Concentración,"Artistas/intelectuales, ciudadanos/pueblo","Derechos políticos contra presos 11J. En las afueras del Tribunal de Diez de Octubre, mientras se celebraba el juicio a 33 manifestantes de La Güinera",NULL,Pedían la libertad de 33 manifestantes de julio que ese día fueron juzgados por el delito de sedición.,"Resultaron detenidas 15 personas, entre familiares y activistas. Carolina Barrero estuvo desaparecida por varias horas, mientras Camila Rodríguez y Daniela Rojo estuvieron en detención por más de 24 horas.",https://twitter.com/justicia11j/status/1620572390068719617?s=20
,21-02-2022,La habana,Manifiesto/Comunicado,Manifiesto,Comunicado,LGBTI,Declaración sobre nuevo acto de censura homofóbica del ICRT + video,NULL,NULL,NULL,
P22-01,10-04-2022,La Habana,Marcha animalista,Marcha animalista,Marcha animalista,Animalistas,"En contra del maltrato animal, conmemorar el Día del Perro y rendir homenaje al trabajo grandísimo que hizo Jeannette Ryder, al que hacemos nosotros mismos y concientizar a las personas sobre el cuidado de los animales. Se reunieron frente a la entrada del Cementerio de Colón para realizar una peregrinación hasta la tumba de Jeannette Ryder.",Estado cubano,"Gritaron consignas contra el maltrato animal durante todo el camino: ""Hablamos por los que no tienen voz"", ""Cambiamos de conducta o cambiamos de planeta"", ""Ellos no conocen las señales de tránsito, pero tú sí. Baja la velocidad. Su vida importa"", ""Por una sociedad sin violencia, di no al maltrato animal"", ""Los animales también tienen derechos"", ""Cuba contra el maltrato animal"".","Días antes a la fecha de la marcha recibieron citaciones de la policía algunas animalistas: Patricia González, Aylín Sardiña, Betty Batista Romero. El día de la marcha se personaron autoridades en el punto de la salida de la manifestación diciendo que la marcha debía hacerse únicamente dentro de los límites del cementerio. Horas antes de la peregrinación, en redes sociales anunciaron la convocatoria estatal a una feria de bienestar animal en varios municipios de La Habana.",https://eltoque.com/marcha-animalista-cuba-2022
P22-02,14-06-2022,Universidad Ignacio Agramonte de Camagüey,Manifestación/Concentración/Cacerolazos,Manifestación,"Concentración, Cacerolazos",Estudiantes universitarias,"Varias estudiantes becadas comenzaron una manifestación pública desde las residencias femeninas del centro universitario. Las estudiantes demandaban el restablecimiento de servicios básicos como agua y electricidad a la escuela. La protesta se extendió a toda la institución universitaria. Para la noche, la universidad estaba en paro total.",Autoridades docentes,"""¡Pongan la corriente, pinga!” y “¡Agua y corriente!”. Los jóvenes cubanos aclararon que la protesta fue por derechos, no por lujos y que no perseguía fines políticos. ""Ya los dirigentes de este país ven cualquier protesta como contrarrevolución y no es así. Simplemente reclamamos derechos básicos del ser humano"". Pidió “en nombre de la comunidad universitaria y del pueblo de Cuba más respeto, más compromiso por parte de los dirigentes de este país con el sector de Energías y Minas. Es hora ya de priorizar lo que ha afectado a esta nación por décadas”. “No fue objetivo de nadie crear una protesta con fines políticos, simplemente es una ‘protesta’ por derechos, no por lujos”, dijo Leo Arias en Facebook.","El servicio eléctrico y el agua fueron restablecidos en la madrugada. El Gobierno, en un frustrado intento por salvar la cara, declaró que la protesta había sido por un “hecho puntual” de la institución y que no se refería a la situación general del país.",https://hypermediamagazine.com/columnistas/mejor-no-me-callo/feminizacion-de-la-protesta-mujeres-y-cambio-social-en-cuba/
P22-03,15-06-2022,"Manzanillo, Granma",Cacerolazos,Cacerolazos,Cacerolazos,Grupo de perosnas heterogéneas,"Residentes del municipio Manzanillo salieron a protestar después de soportar más de 12 horas sin electricidad. «¡Pongan la corriente, pinga!». La protesta duró aproximadamente una hora y cesó cuando restituyeron el servicio eléctrico.",Gobierno cubano,"""Pongan la corriente, pinga""",NULL,https://eltoque.com/mas-apagones-mas-protestas-en-cuba
P22-03,14-07-2022,"Los Palacios, Pinar del Río",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Demanda la falta de electricidad. La protesta se llevó a cabo por varios lugares desde la sede del PCC, la PNR, el Gobierno Municipal hasta calle 20 y 19.",Gobierno municipal y autoridades locales,"""¡Pongan la corriente, pinga!”, “Díaz-Canel singao”.","""La manifestación se dio por terminada una vez que pusieron la electricidad. El régimen reconoció los hechos, pero los manipuló en favor de su narrativa. El medio oficial sumó declaraciones del presidente del Gobierno municipal de Los Palacios, José Ramón Cabrera, quien relató lo ocurrido buscando explicarlo como un hecho puntual derivado de ""inconformidades, falta de información"" por parte de las personas. Evitando mencionar que los cubanos están hartos de los apagones que desde marzo afectan a todos los territorios y que se extienden a veces hasta más de diez horas, el funcionario aseguró que ""en la tarde del jueves tuvimos afectaciones por un cable principal que alimenta la cabecera del territorio"". Y justificó: debido a las ""inclemencias del tiempo se dificultó trabajar oportunamente en esto. Eso produjo que en el horario de la tarde noche varios compañeros salieran irritados a las calles gritando sus inconformidades. Los acompañamos en la calle y les explicamos la situación""""",https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba https://diariodecuba.com/cuba/1657907399_40959.html
P22-04,15-07-2022,"Malecón, Baracoa, Guantánamo",Manifestación/Concentración,Manifestación,Concentración,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"Gritaron consignas como: ""Abajo Díaz-Canel"", ""No más hambre"", ""Estamos cansados"", ""Queremos un futuro mejor”.",Los agentes de la Policía Nacional Revolucionaria (PNR) en Baracoa reprimieron la protesta pacífica en esa localidad del oriente cubano. En el lugar fue detenido el joven cubano Richard Sánchez Sanamé.,https://www.youtube.com/watch?v=b-Xcp6oGQpk  https://noticias.cubitanow.com/cubanos-protestaron-en-el-malecn-de-baracoa-en-guantnamo
,19-07-2022,"Municipio Abreus, Cienfuegos",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,"Residentes del poblado Rosalía-Constancia, ubicado en el municipio Abreus, Cienfuegos, protestaron en contra de los prolongados cortes de electricidad. El Cacerolazo cesó cuando restituyeron la electricidad.",NULL,NULL,Restituyeron la electricidad.,https://eltoque.com/mas-apagones-mas-protestas-en-cuba
P22-05,21-07-2022,"Reparto Lili, Sagua la Grande, Villa Clara",Cacerolazos,Cacerolazos,Cacerolazos,Ciudadanos/pueblo,Demandan la falta de electricidad y los constantes apagones.,Estado cubano,"“Pongan la corriente, pinga”.",NULL,https://maphub.net/proyectoinventario/protestas-verano-2022-en-cuba
